"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 30 21:14:44 GMT 2025","Thu Oct 30 21:14:44 GMT 2025","0","tests.Patient","test_DR_US_06_POST_patient","","","","DR-TC186: Verificar que no se complete el registro de un paciente con solo caracteres especiales en first_name",""
"passed","Thu Oct 30 21:15:52 GMT 2025","Thu Oct 30 21:15:53 GMT 2025","221","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC252: Verificar que se pueda actualizar un paciente con country  Perú",""
"passed","Thu Oct 30 21:17:52 GMT 2025","Thu Oct 30 21:17:53 GMT 2025","1064","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC47: Verificar rechazo en la creación de profesional con specialty excediendo longitud máxima",""
"passed","Thu Oct 30 21:16:03 GMT 2025","Thu Oct 30 21:16:03 GMT 2025","208","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC259: Verificar que no se pueda actualizar father_name con un valor vacio",""
"skipped","Thu Oct 30 21:14:55 GMT 2025","Thu Oct 30 21:14:55 GMT 2025","0","tests.Patient","test_DR_US_06_POST_patient","","","","DR-TC223: Verificar que no se registre un paciente con country inválido Argentina",""
"passed","Thu Oct 30 21:15:48 GMT 2025","Thu Oct 30 21:15:48 GMT 2025","383","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC249: Verificar que se pueda actualizar un paciente con sex femenino",""
"passed","Thu Oct 30 21:17:37 GMT 2025","Thu Oct 30 21:17:37 GMT 2025","237","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC23: Verificar que no se pueda registrar un profesional sin profession",""
"passed","Thu Oct 30 21:17:08 GMT 2025","Thu Oct 30 21:17:08 GMT 2025","218","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC307: Verificar rechazo en actualizar un paciente con address excediendo longitud máxima",""
"skipped","Thu Oct 30 21:16:51 GMT 2025","Thu Oct 30 21:16:52 GMT 2025","210","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC293: Verificar que no se pueda actualizar ref_number_2 con un valor inválido",""
"passed","Thu Oct 30 21:14:21 GMT 2025","Thu Oct 30 21:14:21 GMT 2025","435","tests.Patient","test_DR_US_06_POST_patient","","","","DR-TC171: Verificar que no se pueda registrar un paciente sin dni",""
"passed","Thu Oct 30 21:15:29 GMT 2025","Thu Oct 30 21:15:29 GMT 2025","249","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC237: Verificar actualización exitosa de un paciente modificando solo el campo father_name",""
"passed","Thu Oct 30 21:20:02 GMT 2025","Thu Oct 30 21:20:02 GMT 2025","191","tests.Professional","test_DR_US_05_DELETE_professional","","","","DR-TC158: Verificar eliminación de profesional existente",""
"passed","Thu Oct 30 21:19:41 GMT 2025","Thu Oct 30 21:19:41 GMT 2025","245","tests.Professional","test_DR_US_04_PATCH_professional","","","","DR-TC139: Verificar rechazo en actualizar un profesional con address excediendo longitud máxima",""
"passed","Thu Oct 30 21:17:35 GMT 2025","Thu Oct 30 21:17:36 GMT 2025","220","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC17: Verificar que no se pueda registrar un profesional sin date_of_birth",""
"skipped","Thu Oct 30 21:19:04 GMT 2025","Thu Oct 30 21:19:04 GMT 2025","0","tests.Professional","test_DR_US_04_PATCH_professional","","","","DR-TC117: Verificar que no se pueda actualizar phone con un valor de solo espacios",""
"passed","Thu Oct 30 21:17:43 GMT 2025","Thu Oct 30 21:17:44 GMT 2025","1042","tests.Professional","test_DR_US_02_POST_professional","","","","DR-TC36: Verificar rechazo en la creación de profesional con first_name excediendo longitud máxima",""
"passed","Thu Oct 30 21:15:46 GMT 2025","Thu Oct 30 21:15:46 GMT 2025","218","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR-TC248: Verificar que se pueda actualizar un paciente con sex masculino",""
"skipped","Thu Oct 30 21:16:43 GMT 2025","Thu Oct 30 21:16:43 GMT 2025","0","tests.Patient","test_DR_US_08_PATCH_patient","","","","DR‑TC287: Verificar que no se pueda actualizar date_of_birth a una fecha futura",""
